Student_ID,Age,Gender,Branch,Graduation_Year,CGPA,LeetCode_Problems,DSA_Level,GitHub_Repositories,Open_Source_Contribution,Total_Projects,Major_Project_Level,AI_ML_Projects,Deployment_Experience,Internship_Count,Internship_Domain,Python_Level,SQL_Level,PowerBI_Level,MachineLearning_Level,Statistics_Level,DeepLearning_Level,LinkedIn_Profile,GitHub_Profile,Portfolio_Website,Industry_Certifications,Communication_Level,Target_Role,Preferred_Domain,Placement_Score,Placement_Status
1020,23,Male,Data Science,2028,8.51,34,Beginner,5,No,5,Advanced,2,Yes,0,None,Intermediate,Beginner,Beginner,Advanced,Intermediate,Beginner,Yes,Yes,No,8,Average,Data Analyst,Data Analytics,47.03,Placed
1021,21,Male,CSE,2026,7.32,42,Beginner,5,No,1,Basic,0,No,2,AI/ML,Beginner,Intermediate,Intermediate,Beginner,Intermediate,Intermediate,Yes,Yes,Yes,1,Good,Machine Learning Engineer,AI/ML,38.77,Placed
1022,24,Male,AI/ML,2026,9.84,202,Intermediate,6,Yes,3,Intermediate,2,Yes,1,AI/ML,Intermediate,Intermediate,Beginner,Intermediate,Intermediate,None,No,Yes,Yes,3,Good,Machine Learning Engineer,AI/ML,54.91,Placed
1023,23,Female,CSE,2027,7.63,222,Intermediate,12,No,4,Intermediate,4,No,1,Data Science,Advanced,Beginner,None,Advanced,Intermediate,Beginner,Yes,Yes,No,1,Good,Machine Learning Engineer,AI/ML,48.29,Placed
1024,20,Male,CSE,2027,8.56,9,Beginner,3,No,1,Basic,0,No,2,Data Analytics,Advanced,Intermediate,Beginner,Beginner,Beginner,Advanced,Yes,Yes,No,3,Excellent,Data Scientist,Data Science,44.96,Not Placed
1025,20,Female,CSE,2027,8.31,111,Intermediate,8,No,3,Intermediate,0,Yes,0,None,Intermediate,Intermediate,Intermediate,None,Beginner,Intermediate,No,Yes,No,2,Average,Software Developer,Software Development,41.28,Not Placed
1026,22,Male,CSE,2026,7.46,18,Beginner,4,No,4,Intermediate,4,Yes,1,Cybersecurity,Intermediate,None,None,Beginner,Intermediate,Intermediate,Yes,Yes,No,1,Excellent,AI Engineer,AI/ML,41.19,Placed
1027,22,Female,CSE,2027,6.91,116,Intermediate,8,No,0,Basic,0,No,0,None,Intermediate,Beginner,Intermediate,Intermediate,Beginner,None,Yes,Yes,Yes,3,Poor,Software Developer,Software Development,30.86,Not Placed
1028,21,Female,IT,2028,7.83,98,Beginner,5,Yes,1,Basic,0,No,1,Data Analytics,None,Advanced,Intermediate,Intermediate,Intermediate,Intermediate,Yes,Yes,No,3,Good,Machine Learning Engineer,AI/ML,40.33,Not Placed
1029,23,Male,CSE,2026,8.01,328,Advanced,5,No,6,Advanced,4,Yes,1,Other,Intermediate,Beginner,Advanced,Advanced,Intermediate,Intermediate,Yes,Yes,No,4,Good,AI Engineer,AI/ML,63.04,Placed
1030,23,Male,Data Science,2025,6.93,182,Intermediate,10,Yes,4,Intermediate,0,Yes,0,None,Intermediate,Intermediate,Beginner,Intermediate,Beginner,Beginner,Yes,Yes,No,0,Average,Software Developer,Software Development,42.29,Not Placed
1031,22,Male,CSE,2026,7.67,186,Intermediate,7,No,4,Intermediate,2,Yes,2,Web Development,Advanced,Beginner,None,None,Beginner,Advanced,Yes,Yes,Yes,5,Excellent,Machine Learning Engineer,AI/ML,54.33,Placed
1032,23,Male,IT,2027,8.74,293,Intermediate,6,No,5,Advanced,0,Yes,1,AI/ML,Beginner,Beginner,None,Beginner,Beginner,None,Yes,Yes,Yes,7,Good,Data Engineer,Data Engineering,52.58,Placed
1033,23,Female,AI/ML,2026,9.57,300,Advanced,4,No,4,Intermediate,1,No,0,None,Beginner,Intermediate,None,Beginner,Beginner,Intermediate,No,Yes,Yes,1,Average,Data Analyst,Data Analytics,47.54,Not Placed
1034,20,Female,AI/ML,2027,8.35,147,Intermediate,3,No,4,Intermediate,4,No,2,Cybersecurity,Beginner,Beginner,Advanced,Beginner,Intermediate,None,Yes,Yes,Yes,1,Good,Data Engineer,Data Engineering,48.0,Placed
1035,22,Female,AI/ML,2027,9.36,79,Beginner,11,No,1,Basic,0,No,2,Other,Beginner,Intermediate,Beginner,Intermediate,Beginner,Beginner,Yes,Yes,No,2,Good,Data Engineer,Data Engineering,41.6,Placed
1036,24,Female,AI/ML,2025,6.87,241,Intermediate,8,No,1,Basic,0,Yes,1,Other,Intermediate,None,None,Beginner,Intermediate,Advanced,Yes,Yes,No,4,Average,Software Developer,Software Development,39.86,Not Placed
1037,22,Male,Data Science,2025,8.2,233,Intermediate,9,No,1,Basic,1,No,1,Web Development,Intermediate,Intermediate,Beginner,Intermediate,Intermediate,Intermediate,Yes,Yes,Yes,2,Good,AI Engineer,AI/ML,46.1,Placed
1038,24,Male,CSE,2028,8.84,201,Intermediate,7,No,4,Intermediate,0,Yes,1,Cloud,Advanced,Intermediate,Beginner,None,None,Advanced,Yes,Yes,Yes,2,Good,Data Analyst,Data Analytics,51.4,Placed
1039,20,Female,ECE,2027,6.6,147,Intermediate,7,No,2,Intermediate,1,Yes,1,Web Development,Beginner,Beginner,Advanced,Intermediate,Beginner,Beginner,Yes,Yes,No,8,Good,Data Analyst,Data Analytics,45.5,Not Placed
1040,21,Male,AI/ML,2026,7.01,116,Intermediate,8,No,3,Intermediate,3,No,0,None,Intermediate,Beginner,Intermediate,Beginner,Advanced,Advanced,Yes,Yes,No,2,Good,AI Engineer,AI/ML,42.06,Not Placed
1041,23,Female,AI/ML,2025,9.24,301,Advanced,5,Yes,3,Intermediate,2,Yes,1,Other,Intermediate,Beginner,Beginner,None,Beginner,Beginner,No,Yes,No,3,Excellent,Data Engineer,Data Engineering,55.0,Placed
1042,20,Male,IT,2025,6.52,98,Beginner,8,No,1,Basic,0,Yes,1,Data Analytics,Beginner,Beginner,None,Intermediate,Intermediate,Beginner,Yes,Yes,No,5,Average,AI Engineer,AI/ML,33.71,Not Placed
1043,23,Male,AI/ML,2027,6.16,76,Beginner,4,No,2,Intermediate,2,Yes,0,None,Intermediate,Intermediate,Beginner,None,Beginner,Intermediate,Yes,Yes,No,1,Good,Data Analyst,Data Analytics,33.16,Placed
1044,21,Female,IT,2026,9.03,110,Intermediate,5,No,3,Intermediate,1,Yes,0,None,Intermediate,Beginner,Beginner,Intermediate,Beginner,Intermediate,Yes,Yes,No,7,Excellent,Data Engineer,Data Engineering,50.21,Placed
1045,21,Male,AI/ML,2025,8.7,66,Beginner,0,No,0,Basic,0,Yes,0,None,Intermediate,Intermediate,None,Intermediate,Beginner,Advanced,No,No,No,1,Average,Data Analyst,Data Analytics,35.29,Not Placed
1046,20,Female,IT,2025,7.93,233,Intermediate,6,No,3,Intermediate,2,No,0,None,Beginner,None,Intermediate,Advanced,Beginner,Beginner,Yes,Yes,No,2,Good,Software Developer,Software Development,41.96,Not Placed
1047,21,Female,CSE,2026,7.45,147,Intermediate,4,Yes,0,Basic,0,No,2,Web Development,Intermediate,None,Advanced,None,Intermediate,Advanced,Yes,Yes,Yes,3,Poor,Data Analyst,Data Analytics,40.51,Not Placed
1048,24,Female,IT,2025,7.06,20,Beginner,3,No,6,Advanced,3,Yes,2,Data Science,Intermediate,Beginner,Beginner,Intermediate,Intermediate,Beginner,Yes,Yes,Yes,3,Average,Data Analyst,Data Analytics,47.92,Placed
1049,21,Female,IT,2026,7.78,182,Intermediate,5,No,2,Intermediate,2,Yes,2,Cybersecurity,Beginner,Intermediate,None,Beginner,Intermediate,Intermediate,Yes,Yes,No,0,Good,AI Engineer,AI/ML,46.69,Placed
1050,23,Female,CSE,2027,9.08,113,Intermediate,4,No,6,Advanced,5,Yes,2,Other,Intermediate,Intermediate,Beginner,None,Advanced,Beginner,Yes,Yes,No,0,Good,Data Scientist,Data Science,55.06,Placed
1051,23,Female,CSE,2025,7.74,134,Intermediate,6,No,3,Intermediate,0,Yes,0,None,None,None,None,Intermediate,Intermediate,Beginner,Yes,Yes,No,1,Good,Machine Learning Engineer,AI/ML,37.99,Placed
1052,23,Male,AI/ML,2027,9.67,161,Intermediate,6,No,4,Intermediate,0,Yes,2,Cybersecurity,Advanced,Intermediate,Intermediate,Advanced,Beginner,Beginner,Yes,Yes,No,3,Good,Machine Learning Engineer,AI/ML,59.26,Placed
1053,23,Male,ECE,2026,6.6,89,Beginner,6,No,1,Basic,1,Yes,1,Web Development,Beginner,Intermediate,Beginner,Intermediate,None,Beginner,Yes,Yes,Yes,0,Excellent,Machine Learning Engineer,AI/ML,36.24,Not Placed
1054,24,Female,CSE,2027,7.48,75,Beginner,7,No,2,Intermediate,1,No,1,Data Science,Intermediate,Intermediate,Beginner,Intermediate,Beginner,Beginner,Yes,Yes,Yes,3,Good,Data Engineer,Data Engineering,40.78,Placed
1055,22,Male,AI/ML,2027,7.13,201,Intermediate,6,No,5,Advanced,1,No,0,None,Intermediate,Beginner,Intermediate,None,Beginner,Beginner,Yes,Yes,Yes,1,Poor,Data Analyst,Data Analytics,38.58,Placed
1056,20,Male,CSE,2027,6.41,47,Beginner,6,No,3,Intermediate,2,No,1,Other,Advanced,None,Intermediate,Beginner,Intermediate,Intermediate,Yes,Yes,No,0,Excellent,Data Scientist,Data Science,39.12,Not Placed
1057,23,Male,AI/ML,2028,7.35,59,Beginner,8,Yes,2,Intermediate,2,No,1,Data Analytics,Beginner,Intermediate,Intermediate,None,Beginner,Intermediate,No,Yes,No,2,Average,Data Scientist,Data Science,35.58,Placed
1058,21,Female,Data Science,2026,7.92,71,Beginner,9,No,3,Intermediate,0,No,0,None,Advanced,Beginner,Intermediate,Beginner,Beginner,Beginner,Yes,Yes,No,2,Average,Data Scientist,Data Science,35.7,Placed
1059,23,Female,ECE,2026,8.02,258,Intermediate,1,Yes,1,Basic,0,No,3,Cloud,Beginner,Intermediate,Intermediate,Beginner,Beginner,Intermediate,Yes,Yes,No,1,Good,Data Scientist,Data Science,48.91,Placed
1060,21,Male,AI/ML,2026,9.67,309,Advanced,3,No,2,Intermediate,1,No,2,Cybersecurity,Intermediate,Beginner,Beginner,Intermediate,Intermediate,Beginner,Yes,Yes,No,5,Excellent,AI Engineer,AI/ML,59.48,Placed
1061,21,Female,IT,2026,7.96,71,Beginner,4,No,2,Intermediate,2,No,2,Cybersecurity,Beginner,Beginner,Intermediate,Beginner,Intermediate,Intermediate,Yes,Yes,No,2,Good,Data Scientist,Data Science,41.78,Not Placed
1062,23,Female,AI/ML,2026,8.65,60,Beginner,6,No,3,Intermediate,2,No,1,AI/ML,Intermediate,Intermediate,Beginner,Advanced,Beginner,Intermediate,Yes,Yes,No,1,Good,Software Developer,Software Development,44.4,Not Placed
1063,24,Female,CSE,2025,7.57,146,Intermediate,3,No,3,Intermediate,3,Yes,2,Other,Beginner,Beginner,None,Beginner,Intermediate,Intermediate,Yes,Yes,Yes,7,Average,Machine Learning Engineer,AI/ML,48.03,Placed
1064,21,Female,AI/ML,2025,9.18,113,Intermediate,4,No,5,Advanced,0,No,0,None,Beginner,Advanced,None,Beginner,Advanced,Advanced,Yes,Yes,No,1,Good,Data Scientist,Data Science,49.16,Placed
1065,21,Female,Data Science,2025,9.9,236,Intermediate,5,No,2,Intermediate,2,No,2,Data Science,Intermediate,Intermediate,None,None,Intermediate,Advanced,Yes,Yes,No,1,Excellent,Machine Learning Engineer,AI/ML,53.24,Placed
1066,23,Male,ECE,2027,8.03,190,Intermediate,5,No,1,Basic,0,Yes,2,Other,Intermediate,Advanced,Beginner,Intermediate,Beginner,None,Yes,Yes,No,7,Poor,Data Scientist,Data Science,45.81,Not Placed
1067,21,Female,IT,2027,6.51,402,Advanced,8,Yes,0,Basic,0,No,1,AI/ML,Beginner,Intermediate,Intermediate,Beginner,Beginner,Intermediate,Yes,Yes,No,4,Average,Data Scientist,Data Science,43.55,Not Placed
1068,21,Male,CSE,2026,6.95,63,Beginner,9,No,5,Advanced,5,Yes,1,Cloud,Beginner,Intermediate,Intermediate,Advanced,Beginner,None,Yes,Yes,No,0,Excellent,Machine Learning Engineer,AI/ML,45.84,Placed
1069,23,Female,CSE,2028,7.78,234,Intermediate,9,No,2,Intermediate,1,No,1,Other,None,Beginner,Beginner,Intermediate,Intermediate,Intermediate,Yes,Yes,No,3,Good,Machine Learning Engineer,AI/ML,43.57,Placed
1070,23,Female,CSE,2026,7.96,98,Beginner,9,No,4,Intermediate,1,No,2,Web Development,None,Advanced,Intermediate,Beginner,Beginner,Beginner,Yes,Yes,No,2,Good,Data Scientist,Data Science,43.09,Not Placed
1071,20,Male,ECE,2025,8.2,57,Beginner,7,Yes,3,Intermediate,1,No,0,None,Beginner,Beginner,Beginner,Intermediate,Beginner,None,Yes,Yes,Yes,1,Poor,Data Engineer,Data Engineering,32.75,Not Placed
1072,24,Male,IT,2026,7.96,97,Beginner,6,Yes,6,Advanced,2,Yes,2,Cloud,Advanced,None,None,Beginner,Intermediate,Intermediate,Yes,Yes,Yes,6,Good,Data Scientist,Data Science,54.88,Not Placed
1073,24,Female,IT,2027,7.51,105,Intermediate,9,No,1,Basic,0,No,0,None,Intermediate,Intermediate,Intermediate,Beginner,Beginner,Beginner,Yes,Yes,No,3,Average,Data Analyst,Data Analytics,34.6,Not Placed
1074,21,Male,AI/ML,2026,6.86,290,Intermediate,5,No,2,Intermediate,2,Yes,2,Cybersecurity,Advanced,Intermediate,None,Intermediate,Beginner,Advanced,Yes,Yes,No,3,Poor,Machine Learning Engineer,AI/ML,48.47,Placed
1075,24,Female,AI/ML,2025,7.9,32,Beginner,5,No,3,Intermediate,3,No,0,None,Beginner,Beginner,Beginner,Intermediate,Beginner,Intermediate,Yes,Yes,No,8,Poor,Data Analyst,Data Analytics,34.78,Not Placed
1076,21,Male,AI/ML,2026,9.35,72,Beginner,10,No,4,Intermediate,0,No,0,None,Advanced,Beginner,Intermediate,Intermediate,Beginner,Advanced,Yes,Yes,Yes,4,Excellent,Data Engineer,Data Engineering,49.08,Placed
1077,20,Male,CSE,2027,8.52,141,Intermediate,6,No,5,Advanced,2,Yes,0,None,Advanced,Advanced,Beginner,Intermediate,Beginner,Intermediate,Yes,Yes,No,2,Good,Software Developer,Software Development,53.06,Placed
1078,23,Female,AI/ML,2028,8.03,54,Beginner,11,No,2,Intermediate,0,No,3,Cloud,Intermediate,Advanced,None,None,Intermediate,Intermediate,No,Yes,No,2,Excellent,Data Scientist,Data Science,47.47,Not Placed
1079,23,Female,CSE,2025,8.53,376,Advanced,7,No,3,Intermediate,2,No,0,None,Intermediate,Intermediate,None,Beginner,Beginner,Advanced,Yes,Yes,No,2,Average,Data Analyst,Data Analytics,47.6,Placed
1080,23,Female,CSE,2026,7.13,415,Advanced,8,No,4,Intermediate,0,Yes,1,Cybersecurity,Beginner,Intermediate,None,Beginner,None,Beginner,Yes,Yes,Yes,6,Good,Machine Learning Engineer,AI/ML,51.88,Not Placed
1081,24,Male,IT,2027,6.99,132,Intermediate,10,Yes,2,Intermediate,0,No,0,None,Advanced,Beginner,Intermediate,Intermediate,Intermediate,None,No,Yes,No,7,Good,Machine Learning Engineer,AI/ML,44.26,Placed
1082,20,Female,IT,2025,6.75,202,Intermediate,10,No,2,Intermediate,2,No,3,Cybersecurity,Advanced,Intermediate,None,Beginner,Advanced,Beginner,Yes,Yes,No,6,Excellent,Machine Learning Engineer,AI/ML,53.93,Placed
1083,24,Female,AI/ML,2025,7.37,336,Advanced,5,No,1,Basic,0,No,1,Other,Advanced,Advanced,Intermediate,Beginner,Intermediate,Beginner,Yes,Yes,Yes,0,Good,AI Engineer,AI/ML,48.98,Not Placed
1084,24,Female,AI/ML,2027,7.08,119,Intermediate,5,Yes,2,Intermediate,0,No,1,Data Analytics,Advanced,Beginner,None,Advanced,Intermediate,Advanced,Yes,Yes,No,6,Good,Software Developer,Software Development,49.64,Placed
1085,20,Female,AI/ML,2026,8.71,193,Intermediate,14,No,3,Intermediate,2,Yes,2,Data Science,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,Yes,Yes,No,0,Good,Data Analyst,Data Analytics,48.51,Placed
1086,20,Female,IT,2026,7.02,48,Beginner,9,Yes,2,Intermediate,0,No,1,Cybersecurity,Advanced,None,None,Intermediate,Beginner,Beginner,Yes,Yes,Yes,2,Average,Machine Learning Engineer,AI/ML,36.76,Placed
1087,20,Male,IT,2026,6.7,21,Beginner,5,No,2,Intermediate,0,No,1,Cloud,Intermediate,Intermediate,Beginner,Intermediate,Intermediate,Advanced,Yes,Yes,Yes,0,Average,AI Engineer,AI/ML,37.92,Not Placed
1088,20,Male,IT,2025,9.44,253,Intermediate,5,No,2,Intermediate,1,Yes,1,Cybersecurity,Intermediate,Intermediate,Beginner,Intermediate,Beginner,Advanced,Yes,Yes,No,2,Good,Data Scientist,Data Science,52.87,Placed
1089,23,Female,IT,2028,7.05,125,Intermediate,7,No,5,Advanced,1,No,1,Cybersecurity,Advanced,Beginner,None,Beginner,Intermediate,Beginner,Yes,Yes,Yes,0,Good,Data Scientist,Data Science,46.18,Not Placed
1090,22,Male,CSE,2025,7.65,407,Advanced,9,Yes,5,Advanced,4,Yes,1,Data Science,Advanced,Beginner,Beginner,Intermediate,Beginner,Advanced,Yes,Yes,Yes,5,Good,AI Engineer,AI/ML,63.9,Placed
1091,22,Female,AI/ML,2026,7.95,82,Beginner,4,No,6,Advanced,4,Yes,0,None,Beginner,Beginner,None,Intermediate,None,Beginner,Yes,Yes,Yes,3,Average,Data Analyst,Data Analytics,40.33,Not Placed
1092,20,Male,AI/ML,2025,6.36,44,Beginner,7,No,3,Intermediate,1,No,1,Cybersecurity,Intermediate,Intermediate,Intermediate,None,Beginner,Intermediate,Yes,Yes,Yes,0,Good,Data Scientist,Data Science,36.38,Not Placed
1093,22,Female,AI/ML,2028,8.74,236,Intermediate,8,No,3,Intermediate,3,No,3,Data Science,Advanced,Intermediate,Intermediate,Advanced,Intermediate,Advanced,Yes,Yes,No,2,Good,Data Scientist,Data Science,61.02,Not Placed
1094,22,Female,IT,2025,8.14,385,Advanced,7,Yes,0,Basic,0,No,1,Cloud,Intermediate,None,None,Beginner,Intermediate,Beginner,Yes,Yes,No,5,Good,Machine Learning Engineer,AI/ML,46.56,Not Placed
1095,20,Male,AI/ML,2027,9.06,48,Beginner,3,No,4,Intermediate,3,Yes,1,AI/ML,Beginner,None,None,Intermediate,Beginner,Intermediate,Yes,Yes,No,3,Good,Software Developer,Software Development,42.84,Not Placed
1096,22,Male,CSE,2026,6.82,62,Beginner,5,No,3,Intermediate,3,No,0,None,Intermediate,Intermediate,Beginner,Beginner,Intermediate,Intermediate,No,Yes,No,3,Average,Data Scientist,Data Science,34.77,Not Placed
1097,24,Male,AI/ML,2026,7.6,327,Advanced,3,No,5,Advanced,1,Yes,1,Cloud,Intermediate,Beginner,Beginner,None,Intermediate,Intermediate,Yes,Yes,Yes,2,Average,Data Scientist,Data Science,53.1,Placed
1098,21,Female,ECE,2026,7.54,491,Advanced,8,No,3,Intermediate,0,Yes,1,Data Analytics,Intermediate,Beginner,Intermediate,Intermediate,None,Beginner,Yes,Yes,Yes,2,Good,Data Scientist,Data Science,54.24,Placed
1099,21,Female,CSE,2025,7.76,194,Intermediate,8,No,2,Intermediate,1,No,1,Web Development,Intermediate,None,None,Intermediate,Advanced,Intermediate,No,Yes,No,6,Good,Software Developer,Software Development,46.43,Placed
1100,20,Male,Data Science,2025,6.05,76,Beginner,3,No,3,Intermediate,1,No,3,Other,Advanced,Beginner,Intermediate,None,Intermediate,Intermediate,No,Yes,Yes,3,Good,Data Analyst,Data Analytics,45.04,Not Placed
1101,23,Female,AI/ML,2025,7.61,308,Advanced,7,No,1,Basic,0,No,1,Other,Intermediate,None,Intermediate,None,Intermediate,None,Yes,Yes,No,6,Good,Data Analyst,Data Analytics,43.44,Placed
1102,20,Male,CSE,2026,6.07,107,Intermediate,8,No,4,Intermediate,3,No,1,Web Development,Intermediate,Advanced,None,Beginner,Beginner,Intermediate,Yes,Yes,No,4,Average,Data Analyst,Data Analytics,40.84,Not Placed
1103,23,Male,AI/ML,2025,7.86,78,Beginner,4,No,3,Intermediate,1,No,0,None,Beginner,Beginner,None,Beginner,Advanced,None,Yes,Yes,Yes,4,Excellent,AI Engineer,AI/ML,38.09,Not Placed
1104,21,Female,IT,2026,5.37,88,Beginner,8,No,4,Intermediate,2,Yes,2,Data Analytics,Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Intermediate,Yes,Yes,No,5,Good,Data Scientist,Data Science,45.06,Placed
1105,20,Male,AI/ML,2025,5.65,215,Intermediate,4,No,4,Intermediate,2,No,1,Cloud,None,Beginner,None,Advanced,None,Intermediate,No,Yes,Yes,5,Excellent,Software Developer,Software Development,43.72,Not Placed
1106,24,Male,IT,2026,8.32,138,Intermediate,4,No,3,Intermediate,1,Yes,1,Cloud,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Yes,Yes,Yes,0,Average,AI Engineer,AI/ML,41.71,Not Placed
1107,22,Male,CSE,2027,6.95,187,Intermediate,8,No,4,Intermediate,4,Yes,0,None,Intermediate,None,Beginner,Beginner,Intermediate,None,Yes,Yes,Yes,1,Average,Data Analyst,Data Analytics,38.5,Not Placed
1108,23,Male,CSE,2025,6.51,241,Intermediate,8,No,4,Intermediate,2,Yes,1,Cloud,Advanced,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Yes,Yes,No,2,Excellent,AI Engineer,AI/ML,53.14,Placed
1109,22,Male,ECE,2026,8.77,111,Intermediate,3,No,6,Advanced,6,Yes,3,Cybersecurity,Beginner,Beginner,Beginner,Intermediate,Intermediate,Intermediate,Yes,Yes,No,2,Good,Data Analyst,Data Analytics,58.7,Placed
1110,22,Male,AI/ML,2027,7.83,262,Intermediate,7,No,1,Basic,1,No,0,None,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Yes,Yes,No,0,Good,Machine Learning Engineer,AI/ML,41.59,Not Placed
1111,20,Female,Data Science,2027,8.37,134,Intermediate,12,No,2,Intermediate,0,No,0,None,Intermediate,None,None,Advanced,Intermediate,Beginner,Yes,Yes,No,2,Poor,Machine Learning Engineer,AI/ML,37.25,Not Placed
1112,22,Male,IT,2028,7.33,89,Beginner,6,No,5,Advanced,2,Yes,1,AI/ML,Intermediate,Advanced,Beginner,Beginner,Intermediate,Advanced,Yes,Yes,Yes,2,Poor,Data Analyst,Data Analytics,45.9,Placed
1113,24,Male,AI/ML,2025,10.0,35,Beginner,5,No,4,Intermediate,3,Yes,1,Other,Intermediate,Intermediate,Intermediate,None,Intermediate,Beginner,No,Yes,No,6,Average,Data Scientist,Data Science,46.52,Placed
